"id";"tweet";"date";"username"
"1131597328031322113";"perfectly articulates my feelings towards leading so called eers euelections2019 europeanelection2019 ";2019-05-23 16:26:41;"BrucifR76"
"1131597306741121026";"1 small cross on a ballot paper one giant leap towards real  euelections2019 ";2019-05-23 16:26:36;"MdDeactivated"
"1131597256702996481";"are they registered to vote within the uks electoral commission register permanent citizens of the united kingdom ";2019-05-23 16:26:24;"William_McQuade"
"1131597240282300416";" no democrat this one ";2019-05-23 16:26:20;"UKGoingGlobal"
"1131597237732171776";"pleased to say i ve just voted for _uk standing up for democracy and  my grandparents as well ";2019-05-23 16:26:20;"AppleUK_123"
"1131597223756746754";" europeanelection2019 should have been simply about voting  or remain farage is a fuckwit but it s pretty ";2019-05-23 16:26:16;"igyphoto"
"1131597219289796608";"let s talk about anything but  eh jez ";2019-05-23 16:26:15;"grumpyinbolton"
"1131597216798400518";"everyone who cares about the uk being a progressive decent outward facing country needs to vote today vote for t ";2019-05-23 16:26:15;"kingy73"
"1131597204379115521";"uk pm may stays in power after  deal fails again ";2019-05-23 16:26:12;"One_News_Page"
"1131597197009661953";"sometimes i start a tweet and then just give up because my exasperation at the state of the uk takes over and turns ";2019-05-23 16:26:10;"CaptainJoeSmith"
"1131597168404566016";"i am 58 and i don t think i have ever felt more satisfied and happy to know my vote will make a difference this tim ";2019-05-23 16:26:03;"fredgs05"
"1131597150473867265";"would love one of these little snowflake mugs to throw a milkshake at me i double dare you time to leave ";2019-05-23 16:25:59;"Evans4190"
"1131597136691421191";"an accurate representation of the state of the nation euelections2019  europeanelection2019 ";2019-05-23 16:25:56;"KX_Creative"
"1131597136175489030";"the conservatives will live to regret allowing people to vote today by failing to deliver  in the words ";2019-05-23 16:25:55;"ValantiGasparis"
"1131597114046177280";" well sort of doyourownresearch or not go on call_this_man_a_theorist ";2019-05-23 16:25:50;"CrystalsOfGaea"
"1131597054269120518";"do your research first don t vote yet if you re not too sure who are you voting for don t make the same mistake t ";2019-05-23 16:25:36;"Geekmoshua"
"1131597044794220544";" i am an eu citizen vote for is a vote for  is vote for restricting our rights ";2019-05-23 16:25:34;"SFejfer"
"1131597030797848584";" stocks in london fall victim to global rout as ftse 100 closes down 14 at 7 23104 as tradewar fears amplify ";2019-05-23 16:25:30;"ArvindBhunjun"
"1131597010539294721";" hmmmmmmmmmm  uk oh dear they are been defranchised ";2019-05-23 16:25:26;"nanakumi1976"
"1131596973436559360";"voting before leaving the eu is like shitting on the bed before leaving the hotel room  europawahl2019 ";2019-05-23 16:25:17;"gambajoe"
"1131596948140638209";"  borisjohnson irresponsible and dishonest with 350m a week nhs pledge court hears the independent ";2019-05-23 16:25:11;"GoodOldMedia"
"1131596839613063169";"just voted  and a conservative at heart";2019-05-23 16:24:45;"DenaSanger"
"1131596814820544514";"gove cannot be serious votes for may s faux  deal knock on effect localelection2019 tories loses humongo ";2019-05-23 16:24:39;"ecJulie"
"1131596789650546689";"guy in duck suit at 0 33s says about our nations  shambles it s a bit embarrassing really ";2019-05-23 16:24:33;"Glenn_Fleetwood"
"1131596783635902470";"i don t agree with absolutely everything nigelfarage says but i do trust him to do his very best to deliver a rea ";2019-05-23 16:24:31;"SimonFoxWriter"
"1131596777680003072";"as voting for the european elections begins find out how they could have a lasting impact on the uk and  a ";2019-05-23 16:24:30;"Andr_Rimmington"
"1131596776312594432";" _uk imagine 1 leavers accepted the result 2 got behind uk gov to get an a ";2019-05-23 16:24:30;"roddytherobot"
"1131596739184664576";"can everyone reporting on politics stop introducing every event with the word extraordinary  ";2019-05-23 16:24:21;"robertverkaik1"
"1131596732071108615";"if you re angry that leave won the ref don t care about the 130 000 homeless children and want a meaningless symbo ";2019-05-23 16:24:19;"GregClinker"
"1131596698223042560";"gina miller amp some more well funded remoaning one wonders where the bottomless pit of remain dosh comes froma ";2019-05-23 16:24:11;"uk_rants"
"1131596512822210565";" why not democracy needs to be done nigel farage is the safe bet not the arse of tommy robinson o ";2019-05-23 16:23:27;"KyleMansell"
"1131596502600757248";"go vote libdem to make vincecable smile euelections2019  ";2019-05-23 16:23:24;"simon59448653"
"1131596398196068352";"that s a  feature not a bug ";2019-05-23 16:23:00;"_JohnWhelan"
"1131596275223322626";" _banks politics will always have lies democracy is about trusting ordinary people to decide ";2019-05-23 16:22:30;"jamesmfahy"
"1131596262422253569";"the thousands and thousands of eu nationals who have been deniedmyvote today despite being registered was in no way an accident ";2019-05-23 16:22:27;"ChrisyConvery"
"1131596231183163392";" _farage vote hopenothate vote democracy vote the _uk peoplesvote ";2019-05-23 16:22:20;"cmj1953"
"1131596195397345281";"the beatles say imagine a world without verhofstadt get back to our core values let s have a revolution at the ba ";2019-05-23 16:22:11;"MartinKnight_"
"1131596154217607170";"visas flight delays roaming charges how will  affect business travel ";2019-05-23 16:22:01;"BizDonuts"
